BATHRM	ROOMS
5	16
3	11
4	14
4	12
3	10
3	9
4	11
4	16
3	13
2	7
2	7
3	7
3	12
4	9
3	9
3	11
1	6
2	6
1	6
1	5
2	6
3	6
2	6
2	6
3	8
3	10
4	12
3	9
4	10
0	0
3	8
2	6
2	9
2	8
2	6
2	11
3	11
1	7
1	6
2	7
2	7
2	8
2	7
3	13
3	7
2	6
2	8
1	6
2	7
4	21
4	8
8	16
2	7
3	7
3	6
2	11
3	9
3	10
3	7
3	13
3	10
4	11
3	10
2	7
2	10
2	7
2	8
1	9
3	8
2	5
2	7
3	9
3	7
2	7
2	9
1	4
2	6
4	8
1	6
4	8
2	6
2	8
4	11
3	6
3	10
2	6
1	6
2	9
3	7
3	12
3	6
3	6
1	6
1	6
4	8
3	11
3	9
3	11
2	11
4	10
2	8
3	10
3	13
1	5
1	4
1	5
1	4
2	5
1	4
1	4
1	4
1	4
1	4
1	4
2	7
3	8
2	6
3	7
3	8
3	8
3	8
2	6
2	4
3	9
2	8
1	6
3	10
4	11
1	8
1	8
2	7
2	9
1	8
1	5
5	13
2	7
2	10
3	9
2	9
2	9
3	8
1	8
2	8
4	12
1	6
2	7
3	8
3	12
3	10
3	8
4	12
3	8
1	8
4	8
2	11
1	6
1	6
1	6
1	6
1	6
1	6
1	6
1	6
1	6
3	8
2	8
3	8
1	8
2	10
2	12
1	10
1	6
2	8
1	8
2	9
1	9
2	8
2	6
2	8
2	7
2	6
4	7
2	6
1	7
1	5
1	6
2	6
2	6
1	6
1	6
2	6
3	12
1	9
3	7
5	13
2	9
2	8
1	7
2	6
2	7
2	6
1	6
1	6
1	6
2	9
2	6
2	8
2	7
3	7
3	8
4	7
2	6
2	7
3	4
2	9
1	6
3	6
2	8
2	0
2	7
2	8
1	8
3	12
3	9
3	8
3	9
2	8
1	8
1	8
2	0
3	11
2	7
1	6
2	8
2	0
1	6
5	13
2	8
3	10
3	8
4	7
4	11
3	12
2	8
3	10
1	6
10	23
2	7
1	6
3	10
2	8
4	8
2	10
3	14
3	10
5	7
2	9
2	7
4	14
4	8
2	6
2	9
4	14
2	10
4	8
3	12
6	11
3	10
3	10
2	11
3	16
4	9
2	6
1	6
1	6
1	6
2	8
2	7
2	8
1	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
1	6
1	6
1	8
2	8
1	8
1	8
1	8
1	8
1	7
2	6
3	6
2	6
2	8
1	6
2	6
1	6
2	7
2	8
2	10
1	6
2	6
2	6
2	12
2	7
2	8
3	8
2	10
2	9
3	8
2	8
1	8
2	6
2	6
1	6
1	6
1	6
1	6
2	6
1	5
1	6
1	6
1	6
1	6
1	6
1	6
1	6
1	6
1	6
1	6
1	6
1	6
1	6
3	7
3	6
2	8
3	9
2	5
4	10
2	6
2	6
2	6
2	6
2	6
3	10
2	6
1	6
1	6
2	7
2	7
2	11
1	6
1	8
2	9
2	9
2	7
2	5
3	8
1	7
4	12
2	9
1	10
1	7
2	9
2	10
3	7
3	7
2	4
1	7
2	14
4	10
2	5
1	7
1	6
4	12
3	9
3	9
3	10
3	8
4	15
3	8
4	13
4	10
4	14
3	10
2	8
1	8
3	8
2	8
4	12
5	12
1	6
2	6
1	6
1	6
2	9
4	13
2	6
2	6
3	8
4	16
1	6
